Date,Close,Open,Highest,Lowest,KL,Change(%),Bank
2021-11-12,18006.0,17534.0,18124.0,17495.0,9990000.0,2.01,LVB
2021-11-11,17652.0,18163.0,18242.0,17456.0,15890000.0,-2.81,LVB
2021-11-10,18163.0,18635.0,18635.0,18085.0,10520000.0,-1.7,LVB
2021-11-09,18478.0,18714.0,18832.0,18360.0,13540000.0,0.43,LVB
2021-11-08,18399.0,18399.0,18714.0,18085.0,22210000.0,1.52,LVB
2021-11-05,18124.0,18085.0,18399.0,17731.0,12590000.0,0.22,LVB
2021-11-04,18085.0,18242.0,18714.0,17849.0,19140000.0,0.66,LVB
2021-11-03,17967.0,16984.0,17967.0,16905.0,27460000.0,6.77,LVB
2021-11-02,16827.0,16512.0,16905.0,16512.0,13560000.0,1.18,LVB
2021-11-01,16630.0,16827.0,17102.0,16591.0,13600000.0,1.68,LVB
2021-10-29,16355.0,16591.0,16905.0,16355.0,13920000.0,-1.42,LVB
2021-10-28,16591.0,16748.0,16748.0,16512.0,5970000.0,0.48,LVB
2021-10-27,16512.0,16591.0,16630.0,16394.0,7430000.0,0.96,LVB
2021-10-26,16355.0,16237.0,16827.0,16198.0,5540000.0,0.73,LVB
2021-10-25,16237.0,16394.0,16473.0,16237.0,4590000.0,-0.96,LVB
2021-10-22,16394.0,16591.0,16630.0,16355.0,4740000.0,-0.71,LVB
2021-10-21,16512.0,16669.0,16866.0,16512.0,4720000.0,-0.71,LVB
2021-10-20,16630.0,16591.0,16748.0,16433.0,4780000.0,-0.7,LVB
2021-10-19,16748.0,16866.0,16984.0,16669.0,4930000.0,-1.39,LVB
2021-10-18,16984.0,17298.0,17495.0,16905.0,6200000.0,-1.82,LVB
2021-10-15,17298.0,17023.0,17574.0,16984.0,7720000.0,1.62,LVB
2021-10-14,17023.0,17180.0,17180.0,17023.0,4210000.0,-0.69,LVB
2021-10-13,17141.0,17102.0,17220.0,16905.0,4610000.0,0.23,LVB
2021-10-12,17102.0,17220.0,17416.0,17062.0,6800000.0,0.0,LVB
