season,group,value,bank
2-2022,tong-chi-phi,"5,683,283,000",HDB
2-2022,loi-nhuan-rong(**)(**),"2,079,127,000",HDB
2-2022,tong-tai-san,"384,266,740,000",HDB
2-2022,tien-cho-vay,"239,229,708,000",HDB
2-2022,dau-tu-chung-khoan,"62,607,158,000",HDB
2-2022,gop-von-va-dau-tu-dai-han,"143,820,000",HDB
2-2022,tien-gui,"255,735,085,000",HDB
2-2022,von-va-cac-quy,"33,192,313,000",HDB
2-2022,tong-doanh-thu(*),"6,475,619,000",LVB
2-2022,tong-loi-nhuan-truoc-thue,"1,793,186,000",LVB
2-2022,tong-chi-phi,"4,453,544,000",LVB
2-2022,loi-nhuan-rong(**)(**),"1,434,686,000",LVB
2-2022,tong-tai-san,"300,919,233,000",LVB
2-2022,tien-cho-vay,"227,273,093,000",LVB
2-2022,dau-tu-chung-khoan,"42,339,677,000",LVB
2-2022,tien-gui,"220,927,560,000",LVB
2-2022,von-va-cac-quy,"23,387,256,000",LVB
2-2022,tong-doanh-thu(*),"40,223,965,000",MBB
2-2022,tong-loi-nhuan-truoc-thue,"10,036,119,000",MBB
2-2022,tong-chi-phi,"26,584,212,000",MBB
2-2022,loi-nhuan-rong(**),"7,822,773,000",MBB
2-2022,tong-tai-san,"411,487,575,000",MBB
2-2022,tien-cho-vay,"260,879,182,000",MBB
2-2022,dau-tu-chung-khoan,"86,796,808,000",MBB
2-2022,gop-von-va-dau-tu-dai-han,"887,017,000",MBB
2-2022,tien-gui,"302,259,667,000",MBB
2-2022,von-va-cac-quy,"37,997,849,000",MBB
2-2022,tong-doanh-thu(*),"3,620,789,000",MSB
2-2022,tong-loi-nhuan-truoc-thue,"1,840,973,000",MSB
2-2022,tong-chi-phi,"2,766,402,000",MSB
2-2022,loi-nhuan-rong(**)(**),"1,491,994,000",MSB
2-2022,tong-tai-san,"195,057,359,000",MSB
2-2022,tien-cho-vay,"119,985,031,000",MSB
2-2022,dau-tu-chung-khoan,"41,815,045,000",MSB
2-2022,gop-von-va-dau-tu-dai-han,"10,036,000",MSB
2-2022,tien-gui,"123,619,449,000",MSB
2-2022,von-va-cac-quy,"24,578,171,000",MSB
2-2022,tong-doanh-thu(*),"3,813,376,857",OCB
2-2022,tong-loi-nhuan-truoc-thue,"903,490,292",OCB
2-2022,tong-chi-phi,"2,463,723,659",OCB
2-2022,loi-nhuan-rong(**)(**),"722,469,050",OCB
2-2022,tong-tai-san,"188,857,392,503",OCB
2-2022,tien-cho-vay,"112,742,866,631",OCB
2-2022,dau-tu-chung-khoan,"36,681,892,716",OCB
2-2022,tien-gui,"129,008,219,839",OCB
2-2022,von-va-cac-quy,"23,146,944,477",OCB
2-2022,tong-doanh-thu(*),"11,184,626,000",STB
2-2022,tong-loi-nhuan-truoc-thue,"1,319,161,000",STB
2-2022,tong-chi-phi,"7,907,576,000",STB
2-2022,loi-nhuan-rong(**)(**),"803,989,000",STB
2-2022,tong-tai-san,"551,422,119,000",STB
2-2022,tien-cho-vay,"415,268,563,000",STB
2-2022,dau-tu-chung-khoan,"71,190,076,000",STB
2-2022,gop-von-va-dau-tu-dai-han,"88,851,000",STB
2-2022,tien-gui,"464,734,996,000",STB
2-2022,von-va-cac-quy,"35,798,125,000",STB
2-2022,tong-doanh-thu(*),"4,209,489,000",SSB
2-2022,tong-loi-nhuan-truoc-thue,"1,499,887,000",SSB
2-2022,tong-chi-phi,"2,821,048,000",SSB
2-2022,loi-nhuan-rong(**)(**),"1,201,905,000",SSB
2-2022,tong-tai-san,"229,723,225,000",SSB
2-2022,tien-cho-vay,"151,222,026,000",SSB
2-2022,dau-tu-chung-khoan,"19,251,563,000",SSB
2-2022,gop-von-va-dau-tu-dai-han,"85,415,000",SSB
2-2022,tien-gui,"164,091,599,000",SSB
2-2022,von-va-cac-quy,"23,556,800,000",SSB
2-2022,tong-doanh-thu(*),"14,247,767,000",TCB
2-2022,tong-loi-nhuan-truoc-thue,"7,321,136,000",TCB
2-2022,tong-chi-phi,"6,917,755,000",TCB
2-2022,loi-nhuan-rong(**)(**),"5,800,491,000",TCB
2-2022,tong-tai-san,"623,745,079,000",TCB
2-2022,tien-cho-vay,"406,785,333,000",TCB
2-2022,dau-tu-chung-khoan,"98,059,454,000",TCB
2-2022,gop-von-va-dau-tu-dai-han,"12,813,000",TCB
2-2022,tien-gui,"378,940,931,000",TCB
2-2022,von-va-cac-quy,"103,509,321,000",TCB
2-2022,tong-doanh-thu(*),"6,631,678,000",TPB
2-2022,tong-loi-nhuan-truoc-thue,"2,164,683,000",TPB
2-2022,tong-chi-phi,"4,460,934,000",TPB
2-2022,loi-nhuan-rong(**)(**),"1,731,843,000",TPB
2-2022,tong-tai-san,"310,772,469,000",TPB
2-2022,tien-cho-vay,"165,299,017,000",TPB
2-2022,dau-tu-chung-khoan,"76,531,823,000",TPB
2-2022,tien-gui,"200,434,149,000",TPB
2-2022,von-va-cac-quy,"29,009,480,000",TPB
2-2022,tong-doanh-thu(*),"23,698,303,000",VCB
2-2022,tong-loi-nhuan-truoc-thue,"7,423,087,000",VCB
2-2022,tong-chi-phi,"15,116,984,000",VCB
2-2022,loi-nhuan-rong(**)(**),"5,936,954,000",VCB
2-2022,tong-tai-san,"1,602,391,727,000",VCB
2-2022,tien-cho-vay,"1,150,933,682,000",VCB
2-2022,dau-tu-chung-khoan,"194,557,985,000",VCB
2-2022,gop-von-va-dau-tu-dai-han,"2,380,804,000",VCB
2-2022,tien-gui,"1,354,476,027,000",VCB
2-2022,von-va-cac-quy,"122,891,923,000",VCB
2-2022,tong-doanh-thu(*),"7,855,561,000",VIB
2-2022,tong-loi-nhuan-truoc-thue,"2,744,047,000",VIB
2-2022,tong-chi-phi,"3,144,757,000",VIB
2-2022,loi-nhuan-rong(**)(**),"2,195,308,000",VIB
2-2022,tong-tai-san,"348,022,816,000",VIB
2-2022,tien-cho-vay,"239,030,809,000",VIB
2-2022,dau-tu-chung-khoan,"48,757,928,000",VIB
2-2022,gop-von-va-dau-tu-dai-han,"69,556,000",VIB
2-2022,tien-gui,"238,218,265,000",VIB
2-2022,von-va-cac-quy,"28,249,674,000",VIB
2-2022,tong-doanh-thu(*),"58,047,104,000",VPB
2-2022,tong-loi-nhuan-truoc-thue,"10,324,161,000",VPB
2-2022,tong-chi-phi,"34,906,442,000",VPB
2-2022,loi-nhuan-rong(**),"8,260,263,000",VPB
2-2022,tong-tai-san,"377,204,126,000",VPB
2-2022,tien-cho-vay,"261,798,526,000",VPB
2-2022,dau-tu-chung-khoan,"70,294,955,000",VPB
2-2022,gop-von-va-dau-tu-dai-han,"164,425,000",VPB
2-2022,tien-gui,"226,093,939,000",VPB
2-2022,von-va-cac-quy,"42,209,742,000",VPB
3-2022,tong-doanh-thu(*),"11,735,423,000",ACB
3-2022,tong-loi-nhuan-truoc-thue,"4,474,760,000",ACB
3-2022,tong-chi-phi,"7,262,697,000",ACB
3-2022,loi-nhuan-rong(**)(**),"3,586,992,000",ACB
3-2022,tong-tai-san,"561,113,724,000",ACB
3-2022,tien-cho-vay,"404,867,478,000",ACB
3-2022,dau-tu-chung-khoan,"72,804,317,000",ACB
3-2022,gop-von-va-dau-tu-dai-han,"154,549,000",ACB
3-2022,tien-gui,"437,555,882,000",ACB
3-2022,von-va-cac-quy,"55,734,731,000",ACB
3-2022,tong-doanh-thu(*),"34,821,508,000",BID
3-2022,tong-loi-nhuan-truoc-thue,"6,673,383,000",BID
3-2022,tong-chi-phi,"23,577,840,000",BID
3-2022,loi-nhuan-rong(**)(**),"5,277,956,000",BID
3-2022,tong-tai-san,"2,048,952,718,000",BID
3-2022,tien-cho-vay,"1,521,014,873,000",BID
3-2022,dau-tu-chung-khoan,"233,034,247,000",BID
3-2022,gop-von-va-dau-tu-dai-han,"3,090,065,000",BID
3-2022,tien-gui,"1,572,095,107,000",BID
3-2022,von-va-cac-quy,"96,257,244,000",BID
3-2022,tong-doanh-thu(*),"32,760,793,000",CTG
3-2022,tong-loi-nhuan-truoc-thue,"4,156,564,000",CTG
3-2022,tong-chi-phi,"20,886,037,000",CTG
3-2022,loi-nhuan-rong(**)(**),"3,338,328,000",CTG
3-2022,tong-tai-san,"1,750,789,603,000",CTG
3-2022,tien-cho-vay,"1,272,923,868,000",CTG
3-2022,dau-tu-chung-khoan,"188,210,289,000",CTG
3-2022,gop-von-va-dau-tu-dai-han,"3,484,883,000",CTG
3-2022,tien-gui,"1,325,282,291,000",CTG
3-2022,von-va-cac-quy,"105,378,347,000",CTG
3-2022,tong-doanh-thu(*),"3,435,892,000",EIB
3-2022,tong-loi-nhuan-truoc-thue,"1,278,038,000",EIB
3-2022,tong-chi-phi,"2,513,635,000",EIB
3-2022,loi-nhuan-rong(**)(**),"1,023,545,000",EIB
3-2022,tong-tai-san,"183,674,150,000",EIB
3-2022,tien-cho-vay,"127,446,734,000",EIB
3-2022,dau-tu-chung-khoan,"11,594,767,000",EIB
3-2022,tien-gui,"156,948,286,000",EIB
3-2022,von-va-cac-quy,"20,122,762,000",EIB
3-2022,tong-doanh-thu(*),"9,237,609,000",HDB
3-2022,tong-loi-nhuan-truoc-thue,"2,712,421,000",HDB
3-2022,tong-chi-phi,"5,920,439,000",HDB
3-2022,loi-nhuan-rong(**)(**),"2,015,985,000",HDB
3-2022,tong-tai-san,"399,152,573,000",HDB
3-2022,tien-cho-vay,"249,385,216,000",HDB
3-2022,dau-tu-chung-khoan,"58,766,334,000",HDB
3-2022,gop-von-va-dau-tu-dai-han,"143,820,000",HDB
3-2022,tien-gui,"265,997,507,000",HDB
3-2022,von-va-cac-quy,"35,184,486,000",HDB
3-2022,tong-doanh-thu(*),"7,037,236,000",LVB
3-2022,tong-loi-nhuan-truoc-thue,"1,233,687,000",LVB
3-2022,tong-chi-phi,"4,868,994,000",LVB
3-2022,loi-nhuan-rong(**)(**),"986,887,000",LVB
3-2022,tong-tai-san,"313,480,212,000",LVB
3-2022,tien-cho-vay,"228,402,190,000",LVB
3-2022,dau-tu-chung-khoan,"44,466,261,000",LVB
3-2022,tien-gui,"233,486,478,000",LVB
3-2022,von-va-cac-quy,"26,895,344,400",LVB
3-2022,tong-doanh-thu(*),"43,896,902,000",MBB
3-2022,tong-loi-nhuan-truoc-thue,"10,688,276,000",MBB
3-2022,tong-chi-phi,"28,826,950,000",MBB
3-2022,loi-nhuan-rong(**),"8,262,659,000",MBB
3-2022,tong-tai-san,"494,982,162,000",MBB
3-2022,tien-cho-vay,"299,892,067,000",MBB
3-2022,dau-tu-chung-khoan,"102,798,873,000",MBB
3-2022,gop-von-va-dau-tu-dai-han,"885,231,000",MBB
3-2022,tien-gui,"335,944,502,000",MBB
3-2022,von-va-cac-quy,"47,906,504,000",MBB
3-2022,tong-doanh-thu(*),"4,055,435,000",MSB
3-2022,tong-loi-nhuan-truoc-thue,"1,488,523,000",MSB
3-2022,tong-chi-phi,"2,692,067,000",MSB
3-2022,loi-nhuan-rong(**)(**),"1,202,769,000",MSB
3-2022,tong-tai-san,"194,182,015,000",MSB
3-2022,tien-cho-vay,"124,720,466,000",MSB
3-2022,dau-tu-chung-khoan,"30,028,600,000",MSB
3-2022,gop-von-va-dau-tu-dai-han,"10,036,000",MSB
3-2022,tien-gui,"123,460,156,000",MSB
3-2022,von-va-cac-quy,"25,796,727,000",MSB
3-2022,tong-doanh-thu(*),"3,930,296,499",OCB
3-2022,tong-loi-nhuan-truoc-thue,"909,471,951",OCB
3-2022,tong-chi-phi,"2,639,771,194",OCB
3-2022,loi-nhuan-rong(**)(**),"727,299,080",OCB
3-2022,tong-tai-san,"193,149,539,587",OCB
3-2022,tien-cho-vay,"116,910,583,775",OCB
3-2022,dau-tu-chung-khoan,"39,794,590,325",OCB
3-2022,tien-gui,"126,898,827,136",OCB
3-2022,von-va-cac-quy,"23,881,660,569",OCB
